frame,7,6
2,2,4,
32,2,1,
117,5,1,
135,2,1,
143,5,1,
153,5,1,
181,5,4,
213,5,1,
222,5,4,
246,3,4,
252,3,3,
274,5,3,
281,4,3,
330,4,1,
398,2,1,
469,2,5,
488,2,1,
506,2,5,
536,4,5,
573,2,5,
606,4,3,
611,4,3,
683,1,3,
688,1,5,
739,1,3,
761,1,5,
804,1,3,
835,1,4,
884,1,1,
889,1,1,
895,2,1,
902,2,4,
908,2,1,
921,2,1,
927,2,4,
945,2,1,
988,5,4,
1045,5,1,
1063,5,3,
1075,5,3,
1099,5,1,
1128,5,2,
1134,3,3,
1165,5,3,
1211,1,4,
1231,1,3,
1284,2,4,
1305,1,4,
1354,2,1,
1408,2,5,
1413,2,1,
1430,5,1,
1481,2,1,
1521,2,3,
1538,2,1,
1585,4,3,
1746,5,3,
1807,5,1,
1888,3,1,
2045,4,1,
2072,3,1,
2182,1,1,
2202,4,1,
2207,1,1,
2320,3,1,
2391,3,4,
2526,3,1,
2633,1,1,
2712,1,3,
2793,3,3,
2860,3,1,
3084,1,1,
3151,1,3,
3252,3,3,
3287,1,3,
3292,3,3,
3313,3,1,
3557,1,1,
