frame,8,9,7,10,6
2,2,0,4,0,0,
94,3,5,4,0,0,
103,5,5,4,0,0,
118,2,5,4,0,0,
133,2,5,4,0,5,
145,5,4,4,0,5,
151,2,4,4,0,1,
157,5,4,3,0,2,
184,2,4,3,0,1,
196,1,4,3,0,5,
208,1,4,3,5,5,
217,5,4,3,5,5,
244,2,4,3,5,5,
298,1,4,3,5,5,
307,5,4,3,5,5,
346,1,4,3,5,5,
415,1,4,3,3,5,
604,1,2,3,3,5,
622,1,2,3,3,3,
640,1,2,3,3,1,
679,1,1,3,3,1,
715,1,3,3,3,1,
724,3,3,3,3,3,
751,3,3,3,2,3,
838,2,3,3,2,3,
847,2,3,2,2,3,
859,2,1,2,2,3,
865,1,1,2,2,3,
871,2,1,2,2,3,
907,4,1,2,2,3,
922,4,2,2,2,3,
937,4,2,1,2,5,
943,2,2,1,2,5,
982,5,2,1,2,1,
994,1,2,1,2,1,
1006,4,2,1,2,1,
1027,1,2,1,2,1,
1033,1,2,1,2,1,
1039,1,2,1,5,1,
1045,1,2,1,5,1,
1054,4,2,1,5,1,
1060,2,2,1,5,4,
1066,5,2,1,5,4,
1072,4,2,1,1,4,
1087,1,2,1,1,4,
1096,4,2,1,1,4,
1105,1,2,1,1,4,
1111,2,4,1,1,4,
1123,2,4,1,1,4,
1129,1,4,1,1,2,
1156,2,1,1,1,2,
1165,2,1,1,1,2,
1174,2,4,1,1,2,
1183,1,4,1,1,2,
1198,3,1,1,1,2,
1204,1,1,1,1,2,
1219,2,1,5,1,2,
1237,1,1,5,1,2,
1243,3,1,5,1,2,
1264,1,1,5,2,2,
1285,3,1,5,2,2,
1309,4,1,5,2,2,
1318,1,1,5,2,2,
1327,2,1,5,2,2,
1351,2,1,5,3,2,
1360,1,1,5,3,2,
1366,5,4,5,3,2,
1375,4,4,5,3,5,
1384,2,4,5,3,5,
1393,1,5,5,3,5,
1411,1,5,5,3,3,
1420,1,5,5,3,3,
1456,5,5,5,3,3,
1474,2,5,5,3,3,
1504,4,5,5,3,3,
1549,4,5,4,3,3,
1558,4,5,4,3,5,
1633,4,4,4,3,5,
1678,4,4,3,3,5,
1687,3,4,3,3,4,
1735,3,2,3,3,4,
1741,4,2,3,3,4,
1756,4,2,3,3,1,
1762,4,2,3,5,1,
1768,5,1,3,5,1,
1825,4,1,3,5,4,
1837,4,1,3,5,3,
1852,4,3,3,5,3,
