frame,13,12,14
2,6,5,4,
82,3,5,4,
115,3,3,4,
124,3,2,4,
148,3,3,4,
154,3,2,4,
160,3,3,4,
187,3,3,1,
265,3,6,1,
397,3,6,5,
568,4,6,5,
586,6,6,5,
649,4,6,5,
739,3,6,5,
748,3,1,5,
1060,5,1,5,
1132,3,1,5,
1153,3,4,6,
1216,5,4,6,
1447,5,4,3,
1570,5,1,3,
1621,1,1,3,
1651,1,4,3,
1657,1,1,3,
1663,1,4,3,
1669,1,1,3,
1768,1,5,3,
1813,1,5,4,
1870,1,1,4,
1897,1,5,4,
2035,1,5,3,
2041,1,5,4,
2167,5,5,4,
2227,5,1,4,
2239,4,1,3,
2263,1,1,3,
2479,5,1,3,
2491,5,4,3,
2503,5,4,4,
2773,5,4,1,
2842,1,4,1,
2920,1,4,5,
3082,1,4,4,
3148,1,3,4,
3334,1,5,4,
3346,1,5,4,
3400,1,5,5,
3565,1,1,5,
3571,1,1,3,
3670,1,1,2,
3787,1,3,2,
3904,1,5,2,
3967,1,5,4,
4129,3,5,4,
4171,3,3,4,
4402,3,3,5,
4462,4,3,5,
4654,4,3,3,
4858,5,3,3,
4948,5,4,3,
5050,4,4,3,
5062,5,4,3,
5188,5,3,3,
5221,5,4,3,
5320,5,5,3,
5350,5,5,4,
5599,3,5,4,
6313,3,3,4,
6325,4,3,5,
6952,4,3,4,
7051,3,3,4,
7321,3,3,3,
